Activity,Age_18_29,Age_30_59,Age_60,Avg
Buy a product online,49,49,41,46.33
Buy or make a reservation for travel,13,22,15,16.67
Check weather reports and forecasts online,50,57,61,56
Do any banking online,49,55,55,53
Get news online,57,64,58,59.67
Look for news and information about politics,29,39,40,36
Participate in an online auction,12,11,8,10.33
Send instant messages,49,43,24,38.67
Send or read e-mail,77,86,91,84.67
Use a search engine to find information,67,72,70,69.67
Use a social networking site,74,67,49,63.33
Use classified ads sites like Craigslist,16,17,12,15
Watch a video on a video-sharing site,55,40,20,38.33
None of the above,1,1,2,1.33
I don`t use the Internet,0,1,0,0.33
