Activity,Age_18_29,Age_30_59,Age_60,Avg
Make purchase,49,49,41,46.33
Reserve for travel,13,22,15,16.67
Check weather,50,57,61,56
Do banking online,49,55,55,53
Get news ,57,64,58,59.67
Look for political news and info,29,39,40,36
Participate in an online auction,12,11,8,10.33
Send instant messages,49,43,24,38.67
Send or read e-mail,77,86,91,84.67
Use a search engine ,67,72,70,69.67
Use a social networking site,74,67,49,63.33
Use classified ads sites (e.g. Craiglist),16,17,12,15
Watch a video ,55,40,20,38.33
None of the above,1,1,2,1.33
I don`t use the Internet,0,1,0,0.33
